created_at,published_at,project_slug,publication_id,title,source_type,source_label,source_design_build_id,color_style,online_url,github_path,terrain_type,width_mm,depth_mm,height_min_mm,height_max_mm,vertices,faces,coloring_mode,color_groups,gpx_geometries
2026-05-17T07:13:24.729671+00:00,,nicebikev2,profile-nicebikev2-layered-region-v2_001,profile-nicebikev2-layered-region-v2,layered_region_terrain_v2,Layered Region Terrain v2,,Copernicus - Copernicus001,,,,,,,,,,,,
2026-05-17T07:11:51.789291+00:00,,mdsv2,profile-mdsv2-layered-region-v2_001,profile-mdsv2-layered-region-v2,layered_region_terrain_v2,Layered Region Terrain v2,,Copernicus - Copernicus005,,,,,,,,,,,,
2026-05-17T07:09:56.205707+00:00,,niceswimrunv2,profile-niceswimrunv2-layered-region-v2_001,profile-niceswimrunv2-layered-region-v2,layered_region_terrain_v2,Layered Region Terrain v2,,Premium - Premium007,,,,,,,,,,,,
2026-05-16T20:06:14.977125+00:00,,niceswimrunv2,smoke-terrain-review_004,Smoke Terrain Review,terrain,Terrain Design,,Premium - Premium007,,,,,,,,,,,,
2026-05-16T19:07:25.699670+00:00,2026-05-16T19:07:26.146522+00:00,mdsv2,mdsv2-current-preview_010,mdsv2 Current Preview,current,Current Preview,,Copernicus - Copernicus005,https://simonlaridan-max.github.io/Myrace3d/projects/mdsv2/mdsv2-current-preview_010/index.html,projects/mdsv2/mdsv2-current-preview_010,,,,,,,,,,
2026-05-16T19:06:28.966729+00:00,,mdsv2,mdsv2-current-preview_009,mdsv2 Current Preview,current,Current Preview,,Copernicus - Copernicus005,,,,,,,,,,,,
2026-05-16T18:55:05.887759+00:00,2026-05-16T18:55:06.310919+00:00,mdsv2,mdsv2-current-preview_008,mdsv2 Current Preview,current,Current Preview,,Copernicus - Copernicus005,https://simonlaridan-max.github.io/Myrace3d/projects/mdsv2/mdsv2-current-preview_008/index.html,projects/mdsv2/mdsv2-current-preview_008,,,,,,,,,,
2026-05-16T18:53:47.281430+00:00,2026-05-16T18:53:47.798343+00:00,mdsv2,mdsv2-current-preview_007,mdsv2 Current Preview,current,Current Preview,,Copernicus - Copernicus005,https://simonlaridan-max.github.io/Myrace3d/projects/mdsv2/mdsv2-current-preview_007/index.html,projects/mdsv2/mdsv2-current-preview_007,,,,,,,,,,
2026-05-16T18:52:47.297879+00:00,,mdsv2,mdsv2-current-preview_006,mdsv2 Current Preview,current,Current Preview,,Copernicus - Copernicus005,,,,,,,,,,,,
2026-05-16T17:39:23.425981+00:00,2026-05-16T17:39:23.837238+00:00,mdsv2,mdsv2-current-preview_005,mdsv2 Current Preview,current,Current Preview,,Copernicus - Copernicus005,https://simonlaridan-max.github.io/Myrace3d/projects/mdsv2/mdsv2-current-preview_005/index.html,projects/mdsv2/mdsv2-current-preview_005,,,,,,,,,,
2026-05-16T17:36:30.137203+00:00,2026-05-16T17:36:30.654658+00:00,mdsv2,mdsv2-current-preview_004,mdsv2 Current Preview,current,Current Preview,,Copernicus - Copernicus005,https://simonlaridan-max.github.io/Myrace3d/projects/mdsv2/mdsv2-current-preview_004/index.html,projects/mdsv2/mdsv2-current-preview_004,,,,,,,,,,
2026-05-16T17:35:46.352407+00:00,,mdsv2,mdsv2-current-preview_003,mdsv2 Current Preview,current,Current Preview,,Copernicus - Copernicus005,,,,,,,,,,,,
2026-05-16T16:31:28.038354+00:00,,mdsv2,mdsv2-current-preview_002,mdsv2 Current Preview,current,Current Preview,,Copernicus - Copernicus005,,,,,,,,,,,,
2026-05-14T16:42:59.960229+00:00,2026-05-14T16:43:00.421982+00:00,mdsv2,bestmds_002,BestMDS,current,Current Preview,,Copernicus - Copernicus005,https://simonlaridan-max.github.io/Myrace3d/projects/mdsv2/bestmds_002/index.html,projects/mdsv2/bestmds_002,,,,,,,,,,
2026-05-14T16:42:56.218743+00:00,,mdsv2,bestmds_001,BestMDS,current,Current Preview,,Copernicus - Copernicus005,,,,,,,,,,,,
2026-05-14T16:11:38.049497+00:00,,niceswimrunv2,smoke-terrain-review_003,Smoke Terrain Review,terrain,Terrain Design,,Premium - Premium007,,,,,,,,,,,,
